iteration,resnorm
291,1.97878140e-01
292,1.97848108e-01
293,1.97738263e-01
294,1.97580415e-01
295,1.97373900e-01
296,1.97270484e-01
297,1.97179267e-01
298,1.97059464e-01
299,1.96935743e-01
300,1.96768664e-01
301,1.96494126e-01
302,1.96150226e-01
303,1.95586636e-01
304,1.94650117e-01
305,1.93671380e-01
306,1.92350477e-01
307,1.90854265e-01
308,1.89448652e-01
309,1.88318581e-01
310,1.87428444e-01
311,1.86837515e-01
312,1.86285877e-01
313,1.85912527e-01
314,1.85692561e-01
315,1.85623789e-01
316,1.85549422e-01
317,1.85343110e-01
318,1.85114086e-01
319,1.84820784e-01
320,1.84318649e-01
321,1.83413944e-01
322,1.81972981e-01
323,1.79902444e-01
324,1.77665993e-01
325,1.75636447e-01
326,1.73827326e-01
327,1.72326366e-01
328,1.71157528e-01
329,1.70179649e-01
330,1.69554421e-01
331,1.69115449e-01
332,1.68926670e-01
333,1.68862595e-01
334,1.68859406e-01
335,1.68840596e-01
336,1.68708557e-01
337,1.68292264e-01
338,1.67542954e-01
339,1.66590635e-01
340,1.65372636e-01
341,1.63952149e-01
342,1.62657137e-01
343,1.61406732e-01
344,1.60541726e-01
345,1.59944383e-01
346,1.59498370e-01
347,1.59258707e-01
348,1.59059432e-01
349,1.58931733e-01
350,1.58915730e-01
351,1.58891297e-01
352,1.58840900e-01
353,1.58738365e-01
354,1.58503581e-01
355,1.58173411e-01
356,1.57568198e-01
357,1.56891731e-01
358,1.56219436e-01
359,1.55201731e-01
360,1.54173756e-01
361,1.53326457e-01
362,1.52502616e-01
363,1.51843505e-01
364,1.51321526e-01
365,1.50951337e-01
366,1.50792405e-01
367,1.50711540e-01
368,1.50688420e-01
369,1.50659162e-01
370,1.50629357e-01
371,1.50539065e-01
372,1.50317459e-01
373,1.50086001e-01
374,1.49835077e-01
375,1.49448166e-01
376,1.48892544e-01
377,1.48252306e-01
378,1.47697182e-01
379,1.47237022e-01
380,1.46789680e-01
381,1.46468445e-01
382,1.46311631e-01
383,1.46199649e-01
384,1.46128513e-01
385,1.46044382e-01
386,1.45994417e-01
387,1.45973431e-01
388,1.45971598e-01
389,1.45970662e-01
390,1.45941777e-01
391,1.45918533e-01
392,1.45831458e-01
393,1.45676973e-01
394,1.45577576e-01
395,1.45331439e-01
396,1.45009189e-01
397,1.44657832e-01
398,1.44231213e-01
399,1.43893114e-01
400,1.43592287e-01
401,1.43452614e-01
402,1.43351017e-01
403,1.43247743e-01
404,1.43155085e-01
405,1.43066919e-01
406,1.42909020e-01
407,1.42768169e-01
408,1.42715780e-01
409,1.42551418e-01
410,1.42199832e-01
411,1.41840119e-01
412,1.41385016e-01
413,1.40946301e-01
414,1.40579831e-01
415,1.40348761e-01
416,1.40232445e-01
417,1.40155861e-01
418,1.40134546e-01
419,1.40128745e-01
420,1.40124183e-01
421,1.40113708e-01
422,1.40107393e-01
423,1.40085660e-01
424,1.40022344e-01
425,1.39804009e-01
426,1.39393568e-01
427,1.38898008e-01
428,1.38347515e-01
429,1.37766883e-01
430,1.37093915e-01
431,1.36336101e-01
432,1.35836490e-01
433,1.35486226e-01
434,1.35248015e-01
435,1.35043310e-01
436,1.34896139e-01
437,1.34798731e-01
438,1.34755771e-01
439,1.34723932e-01
440,1.34650456e-01
441,1.34471632e-01
442,1.34083647e-01
443,1.33560637e-01
444,1.33006210e-01
445,1.32281436e-01
446,1.31165082e-01
447,1.29925844e-01
448,1.28633381e-01
449,1.27691983e-01
450,1.27046392e-01
451,1.26659690e-01
452,1.26398581e-01
453,1.26278626e-01
454,1.26256027e-01
455,1.26211981e-01
456,1.26194273e-01
457,1.26174110e-01
458,1.26074989e-01
459,1.25996370e-01
460,1.25787801e-01
461,1.25350459e-01
462,1.24618304e-01
463,1.23475603e-01
464,1.22228924e-01
465,1.21262883e-01
466,1.20383209e-01
467,1.19646851e-01
468,1.18974917e-01
469,1.18545336e-01
470,1.18293723e-01
471,1.18143555e-01
472,1.18039596e-01
473,1.18020797e-01
474,1.18018604e-01
475,1.18007366e-01
476,1.17974848e-01
477,1.17934808e-01
478,1.17871357e-01
479,1.17705342e-01
480,1.17433747e-01
481,1.17195531e-01
482,1.16866643e-01
483,1.16533178e-01
484,1.16264101e-01
485,1.16004330e-01
486,1.15883013e-01
487,1.15775142e-01
488,1.15737187e-01
489,1.15678379e-01
490,1.15642693e-01
491,1.15615759e-01
492,1.15600600e-01
493,1.15569274e-01
494,1.15543245e-01
495,1.15511392e-01
496,1.15506173e-01
497,1.15476723e-01
498,1.15469515e-01
499,1.15463681e-01
500,1.15453289e-01
501,1.15447449e-01
502,1.15440006e-01
503,1.15430072e-01
504,1.15398770e-01
505,1.15319286e-01
506,1.15248615e-01
507,1.15148392e-01
508,1.15067742e-01
509,1.14969370e-01
510,1.14819044e-01
511,1.14656253e-01
512,1.14495770e-01
513,1.14346850e-01
514,1.14225272e-01
515,1.14141861e-01
516,1.14111739e-01
517,1.14076593e-01
518,1.14015494e-01
519,1.13984887e-01
520,1.13967286e-01
521,1.13951286e-01
522,1.13941342e-01
523,1.13892835e-01
524,1.13794243e-01
525,1.13572851e-01
526,1.13105147e-01
527,1.12361961e-01
528,1.11039065e-01
529,1.09305234e-01
530,1.07488911e-01
531,1.05995971e-01
532,1.04972205e-01
533,1.04316758e-01
534,1.04030699e-01
535,1.03904938e-01
536,1.03787998e-01
537,1.03697025e-01
538,1.03665044e-01
539,1.03648259e-01
540,1.03509436e-01
541,1.03090505e-01
542,1.02235955e-01
543,1.00664497e-01
544,9.86431128e-02
545,9.60166230e-02
546,9.31784588e-02
547,9.11672099e-02
548,8.99249054e-02
549,8.93626756e-02
550,8.90836018e-02
551,8.89403557e-02
552,8.88292109e-02
553,8.87270186e-02
554,8.87123564e-02
555,8.86791265e-02
556,8.85540796e-02
557,8.82518274e-02
558,8.75215278e-02
559,8.60721989e-02
560,8.43081992e-02
561,8.23183658e-02
562,8.05301623e-02
563,7.90564510e-02
564,7.81419776e-02
565,7.75388405e-02
566,7.70380832e-02
567,7.66242818e-02
568,7.63492666e-02
569,7.62309523e-02
570,7.62242401e-02
571,7.61962099e-02
572,7.61305345e-02
573,7.59384515e-02
574,7.55689769e-02
575,7.51137264e-02
576,7.46790644e-02
577,7.41135365e-02
578,7.32596064e-02
579,7.22308551e-02
580,7.10029624e-02
581,6.97826702e-02
582,6.90212724e-02
583,6.85770441e-02
584,6.83382989e-02
585,6.81859346e-02
586,6.81244405e-02
587,6.81219294e-02
588,6.80888300e-02
589,6.80561178e-02
590,6.79960737e-02
591,6.79610378e-02
592,6.79150511e-02
593,6.76328395e-02
594,6.70911227e-02
595,6.67399335e-02
596,6.64314814e-02
597,6.61752251e-02
598,6.60791254e-02
599,6.59690918e-02
600,6.59204253e-02
601,6.58954514e-02
602,6.58736949e-02
603,6.58690018e-02
604,6.58625107e-02
