iteration,resnorm
291,3.32201440e-01
292,3.29067306e-01
293,3.26797746e-01
294,3.25874644e-01
295,3.25509655e-01
296,3.25318839e-01
297,3.25279392e-01
298,3.25252426e-01
299,3.25085413e-01
300,3.24656072e-01
301,3.23625983e-01
302,3.22056105e-01
303,3.20233933e-01
304,3.18204728e-01
305,3.16131091e-01
306,3.14688591e-01
307,3.13731311e-01
308,3.12256242e-01
309,3.10838482e-01
310,3.09462488e-01
311,3.08580664e-01
312,3.07978828e-01
313,3.07621787e-01
314,3.07258367e-01
315,3.06816812e-01
316,3.06357237e-01
317,3.05711107e-01
318,3.05309708e-01
319,3.04820620e-01
320,3.04196024e-01
321,3.03341937e-01
322,3.02229945e-01
323,3.00800808e-01
324,2.99307913e-01
325,2.98038770e-01
326,2.97079343e-01
327,2.96373524e-01
328,2.95829419e-01
329,2.95453805e-01
330,2.95241579e-01
331,2.95081376e-01
332,2.94624209e-01
333,2.93918168e-01
334,2.93040198e-01
335,2.91716204e-01
336,2.90285782e-01
337,2.88612827e-01
338,2.86687774e-01
339,2.85168260e-01
340,2.84070195e-01
341,2.82883763e-01
342,2.82061610e-01
343,2.81541039e-01
344,2.81292890e-01
345,2.81218700e-01
346,2.81167210e-01
347,2.81007881e-01
348,2.80602780e-01
349,2.80021439e-01
350,2.79267639e-01
351,2.78585029e-01
352,2.77439695e-01
353,2.76108350e-01
354,2.74186640e-01
355,2.72639931e-01
356,2.71245688e-01
357,2.70549623e-01
358,2.69995492e-01
359,2.69523156e-01
360,2.69254990e-01
361,2.68993869e-01
362,2.68724411e-01
363,2.68507084e-01
364,2.68015370e-01
365,2.67092467e-01
366,2.66087147e-01
367,2.64867361e-01
368,2.63146508e-01
369,2.61160811e-01
370,2.59264256e-01
371,2.57693649e-01
372,2.56671287e-01
373,2.56284950e-01
374,2.56192033e-01
375,2.56028174e-01
376,2.55833157e-01
377,2.55671639e-01
378,2.55428926e-01
379,2.55049034e-01
380,2.54598803e-01
381,2.53939783e-01
382,2.53320741e-01
383,2.52923736e-01
384,2.52620650e-01
385,2.52414088e-01
386,2.52113510e-01
387,2.51535392e-01
388,2.50951795e-01
389,2.50465098e-01
