phi_deg,pol,geometry,strategy,sigma_m2,iters,seconds
37.5000,V,nominal,fresh,1.21065755e-04,44,1.379
37.5000,V,perturbed,frozen,8.74742923e-05,55,4.452
37.5000,V,perturbed,fresh,8.74743123e-05,53,1.532
37.5000,H,nominal,fresh,1.61781923e-04,46,1.388
37.5000,H,perturbed,frozen,7.39579190e-04,55,4.422
37.5000,H,perturbed,fresh,7.39579960e-04,53,1.719
40.0000,V,nominal,fresh,7.19786214e-05,44,1.373
40.0000,V,perturbed,frozen,1.13316252e-04,55,4.613
40.0000,V,perturbed,fresh,1.13316229e-04,53,1.801
40.0000,H,nominal,fresh,1.63689386e-04,47,1.470
40.0000,H,perturbed,frozen,4.14296180e-04,55,4.631
40.0000,H,perturbed,fresh,4.14296594e-04,53,1.717
42.5000,V,nominal,fresh,2.15177629e-05,44,1.362
42.5000,V,perturbed,frozen,1.08330525e-04,55,4.425
42.5000,V,perturbed,fresh,1.08330361e-04,53,1.675
42.5000,H,nominal,fresh,3.37203085e-04,47,1.432
42.5000,H,perturbed,frozen,1.53473884e-04,54,4.482
42.5000,H,perturbed,fresh,1.53473869e-04,53,1.747
45.0000,V,nominal,fresh,2.27800457e-05,44,1.350
45.0000,V,perturbed,frozen,6.49141633e-05,55,4.662
45.0000,V,perturbed,fresh,6.49138615e-05,53,1.739
45.0000,H,nominal,fresh,6.13802234e-04,47,1.435
45.0000,H,perturbed,frozen,3.07209378e-05,54,4.136
45.0000,H,perturbed,fresh,3.07209026e-05,53,1.730
47.5000,V,nominal,fresh,1.17549410e-04,44,1.392
47.5000,V,perturbed,frozen,2.27933745e-05,55,4.354
47.5000,V,perturbed,fresh,2.27930443e-05,53,1.711
47.5000,H,nominal,fresh,9.83269665e-04,48,1.474
47.5000,H,perturbed,frozen,3.91638141e-05,54,4.460
47.5000,H,perturbed,fresh,3.91637597e-05,53,1.685
50.0000,V,nominal,fresh,2.85127464e-04,44,1.385
50.0000,V,perturbed,frozen,5.56318156e-05,55,4.362
50.0000,V,perturbed,fresh,5.56315914e-05,53,1.724
50.0000,H,nominal,fresh,1.52186002e-03,47,1.416
50.0000,H,perturbed,frozen,1.50470505e-04,54,4.243
50.0000,H,perturbed,fresh,1.50470834e-04,52,1.659
52.5000,V,nominal,fresh,4.23422022e-04,44,1.354
52.5000,V,perturbed,frozen,1.96675292e-04,55,4.351
52.5000,V,perturbed,fresh,1.96675176e-04,53,1.691
52.5000,H,nominal,fresh,2.28484884e-03,47,1.639
52.5000,H,perturbed,frozen,4.44269340e-04,54,4.424
52.5000,H,perturbed,fresh,4.44269699e-04,52,1.727
55.0000,V,nominal,fresh,4.11331817e-04,44,1.392
55.0000,V,perturbed,frozen,3.60237121e-04,54,4.242
55.0000,V,perturbed,fresh,3.60237129e-04,53,1.698
55.0000,H,nominal,fresh,3.16319624e-03,47,1.415
55.0000,H,perturbed,frozen,1.09901893e-03,55,4.430
55.0000,H,perturbed,fresh,1.09901761e-03,52,1.647
57.5000,V,nominal,fresh,2.37368668e-04,44,1.340
57.5000,V,perturbed,frozen,3.80608639e-04,54,4.277
57.5000,V,perturbed,fresh,3.80608825e-04,53,1.700
57.5000,H,nominal,fresh,3.92224533e-03,47,1.418
57.5000,H,perturbed,frozen,2.16640743e-03,55,4.328
57.5000,H,perturbed,fresh,2.16640508e-03,52,1.837
60.0000,V,nominal,fresh,8.54440258e-05,44,1.344
60.0000,V,perturbed,frozen,2.17528676e-04,54,4.069
60.0000,V,perturbed,fresh,2.17528863e-04,53,1.681
60.0000,H,nominal,fresh,4.46041772e-03,47,1.451
60.0000,H,perturbed,frozen,3.45663402e-03,54,4.403
60.0000,H,perturbed,fresh,3.45663457e-03,52,1.671
62.5000,V,nominal,fresh,2.52461254e-04,44,1.352
62.5000,V,perturbed,frozen,1.56932983e-04,54,4.339
62.5000,V,perturbed,fresh,1.56932988e-04,53,1.546
62.5000,H,nominal,fresh,4.98511837e-03,48,1.474
62.5000,H,perturbed,frozen,4.87659052e-03,54,4.124
62.5000,H,perturbed,fresh,4.87658782e-03,53,1.712
65.0000,V,nominal,fresh,9.06459924e-04,44,1.374
65.0000,V,perturbed,frozen,7.04844317e-04,54,4.206
65.0000,V,perturbed,fresh,7.04844376e-04,53,1.671
65.0000,H,nominal,fresh,5.81594446e-03,48,1.441
65.0000,H,perturbed,frozen,6.84025105e-03,54,4.155
65.0000,H,perturbed,fresh,6.84024729e-03,53,1.670
67.5000,V,nominal,fresh,1.88318088e-03,44,1.365
67.5000,V,perturbed,frozen,2.11282768e-03,54,4.133
67.5000,V,perturbed,fresh,2.11282780e-03,53,1.697
67.5000,H,nominal,fresh,7.01407116e-03,48,1.443
67.5000,H,perturbed,frozen,9.92539453e-03,54,4.292
67.5000,H,perturbed,fresh,9.92539241e-03,53,1.706
70.0000,V,nominal,fresh,2.74272052e-03,44,1.354
70.0000,V,perturbed,frozen,3.95335993e-03,54,4.185
70.0000,V,perturbed,fresh,3.95336021e-03,53,1.688
70.0000,H,nominal,fresh,8.30393494e-03,47,1.417
70.0000,H,perturbed,frozen,1.38719921e-02,54,4.082
70.0000,H,perturbed,fresh,1.38719920e-02,53,1.687
72.5000,V,nominal,fresh,3.07869161e-03,44,1.356
72.5000,V,perturbed,frozen,5.28476061e-03,54,4.380
72.5000,V,perturbed,fresh,5.28476086e-03,53,1.708
72.5000,H,nominal,fresh,9.30172681e-03,47,1.432
72.5000,H,perturbed,frozen,1.71833368e-02,54,4.589
72.5000,H,perturbed,fresh,1.71833383e-02,53,1.827
75.0000,V,nominal,fresh,2.80795853e-03,45,1.421
75.0000,V,perturbed,frozen,5.37581332e-03,54,4.312
75.0000,V,perturbed,fresh,5.37581345e-03,53,1.670
75.0000,H,nominal,fresh,9.63389782e-03,46,1.391
75.0000,H,perturbed,frozen,1.80075307e-02,54,4.208
75.0000,H,perturbed,fresh,1.80075339e-02,53,1.710
77.5000,V,nominal,fresh,2.17945718e-03,45,1.407
77.5000,V,perturbed,frozen,4.28790554e-03,54,4.383
77.5000,V,perturbed,fresh,4.28790544e-03,53,1.720
77.5000,H,nominal,fresh,8.93433435e-03,47,1.436
77.5000,H,perturbed,frozen,1.54532772e-02,55,4.535
77.5000,H,perturbed,fresh,1.54532783e-02,53,1.746
80.0000,V,nominal,fresh,1.53110960e-03,45,1.425
80.0000,V,perturbed,frozen,2.73411759e-03,54,4.323
80.0000,V,perturbed,fresh,2.73411735e-03,53,1.712
80.0000,H,nominal,fresh,7.16420201e-03,47,1.425
80.0000,H,perturbed,frozen,1.03848148e-02,54,4.460
80.0000,H,perturbed,fresh,1.03848142e-02,53,1.696
82.5000,V,nominal,fresh,1.05945803e-03,45,1.357
82.5000,V,perturbed,frozen,1.45557096e-03,54,4.192
82.5000,V,perturbed,fresh,1.45557067e-03,53,1.676
82.5000,H,nominal,fresh,5.11050262e-03,48,1.431
82.5000,H,perturbed,frozen,5.40128294e-03,54,4.041
82.5000,H,perturbed,fresh,5.40128464e-03,52,1.656
