part,kappa_precond,kappa_solve,strategy,iters,converged,true_res,solve_time_s,matrix_assembly_s,precond_assembly_s,sol_l2,rel_diff_vs_fresh,dof,h,geometry,seed,tol_outer,tol_inner,maxit,rel_resonance_gap,notes
D,1,2,frozen,19,true,3.562031611e-07,0.9611091614,0.2635719776,0.2768919468,6.696609879,6.602834348e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,1,4,frozen,64,true,1.451096328e-07,2.686654091,0.4902610779,0.2768919468,6.151637022,6.272948132e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,1,8,frozen,187,true,4.438614308e-07,7.278059959,0.2673139572,0.2768919468,5.878147785,5.511737922e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
D,2,0.5,frozen,24,true,1.29972868e-07,0.9845061302,0.2645170689,0.2635719776,6.190261572,1.195763397e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
D,2,1,frozen,18,true,5.034243589e-08,0.7768731117,0.2768919468,0.2635719776,7.485503421,4.963216757e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
D,2,2,frozen,9,true,5.326399274e-07,0.6011450291,0.2635719776,0.2635719776,6.696609843,0,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,2,4,frozen,46,true,1.193293418e-07,1.707927942,0.4902610779,0.2635719776,6.151636984,3.607693667e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,2,8,frozen,162,true,1.999113643e-07,6.221302032,0.2673139572,0.2635719776,5.878147799,1.934765969e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
D,4,0.5,frozen,69,true,3.796554077e-07,2.892163992,0.2645170689,0.4902610779,6.190261571,2.180376273e-07,4827,0.1,sphere,1000,1e-08,1e-08,1500,4.487414,
D,4,1,frozen,60,true,2.998324875e-07,2.275063992,0.2768919468,0.4902610779,7.48550339,7.755739601e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,1.743707,
D,4,2,frozen,43,true,1.486591401e-07,1.627686977,0.2635719776,0.4902610779,6.696609858,7.748436925e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,4,4,frozen,16,true,5.851650131e-08,0.6240820885,0.4902610779,0.4902610779,6.151636986,0,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,4,8,frozen,122,true,1.513815705e-07,4.592787981,0.2673139572,0.4902610779,5.878147777,7.532707846e-08,4827,0.1,sphere,1000,1e-08,1e-08,1500,0.022820125,
