quantity,value
dof,2673
t_Zxx_s,7.316601991653442
t_Tyy_s,204.03327798843384
t_Nxy_s,1.508479118347168
t_bx_s,0.4595608711242676
t_T_over_t_Z,27.886343718188964
kappa,74.68885878099664
eps_top_m,0.011
maxdisp_m,0.010961138812457014
cert,0.2909569777939343
iters_plain,411
iters_frozen,49
iters_fresh,47
t_solve_plain_s,0.943432092666626
t_solve_frozen_s,4.596006155014038
t_solve_fresh_s,1.6018760204315186
