part,kappa_precond,kappa_solve,strategy,iters,converged,true_res,solve_time_s,matrix_assembly_s,precond_assembly_s,sol_l2,rel_diff_vs_fresh,dof,h,geometry,seed,tol_outer,tol_inner,maxit,rel_resonance_gap,notes
D,2,0.5,frozen,28,true,4.098966567e-08,0.246860981,3.460290194,3.46863699,6.392442442,9.710257848e-08,315,0.4,sphere,1000,1e-08,1e-08,1500,4.487414,
D,2,1,frozen,21,true,1.312848734e-07,0.2221641541,3.421206951,3.46863699,7.754474533,5.766271338e-08,315,0.4,sphere,1000,1e-08,1e-08,1500,1.743707,
D,2,2,frozen,10,true,1.050006206e-07,0.03541183472,3.46863699,3.46863699,6.976713565,0,315,0.4,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,2,4,frozen,63,true,3.197362886e-08,0.5237278938,3.47638607,3.46863699,6.634777306,1.005367271e-07,315,0.4,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,2,8,frozen,162,true,1.192927439e-07,1.332129002,3.477092028,3.46863699,8.236571273,3.517986817e-07,315,0.4,sphere,1000,1e-08,1e-08,1500,0.022820125,
D,4,0.5,frozen,91,true,9.418007039e-08,0.7702479362,3.460290194,3.47638607,6.392442527,3.469033423e-07,315,0.4,sphere,1000,1e-08,1e-08,1500,4.487414,
D,4,1,frozen,80,true,8.561804265e-08,0.5777258873,3.421206951,3.47638607,7.75447458,1.145206253e-07,315,0.4,sphere,1000,1e-08,1e-08,1500,1.743707,
D,4,2,frozen,60,true,5.071733641e-08,0.4960958958,3.46863699,3.47638607,6.976713561,6.826976144e-08,315,0.4,sphere,1000,1e-08,1e-08,1500,0.3718535,
D,4,4,frozen,29,true,4.954338658e-08,0.2425220013,3.47638607,3.47638607,6.634777348,0,315,0.4,sphere,1000,1e-08,1e-08,1500,0.03244025,
D,4,8,frozen,163,true,1.135467714e-07,1.297036171,3.477092028,3.47638607,8.236571325,1.025368136e-07,315,0.4,sphere,1000,1e-08,1e-08,1500,0.022820125,
