case,ell_name,ell,seed,nfeat,c,scale,dead,ramp,x_tip,d,sup_DV,sup_DV_surface,file
T,d10,0.02523744,1000,512,0.0625,0.3028112201202305,0.1,0.25,0.14721755875200002,0.2523744,51.153955128346205,50.48098413359101,fields/T_d10_1000.csv
T,d10,0.02523744,1001,512,0.0625,0.26532434858589266,0.1,0.25,0.14721755875200002,0.2523744,49.638879874783,49.34377917015543,fields/T_d10_1001.csv
T,d10,0.02523744,1002,512,0.0625,0.28983636522784983,0.1,0.25,0.14721755875200002,0.2523744,61.14894513478652,59.50466029080573,fields/T_d10_1002.csv
T,d10,0.02523744,1003,512,0.0625,0.3582086847709899,0.1,0.25,0.14721755875200002,0.2523744,77.4658994917863,63.45012766241716,fields/T_d10_1003.csv
T,d10,0.02523744,1004,512,0.0625,0.2866698827925911,0.1,0.25,0.14721755875200002,0.2523744,52.58816929770379,50.544206788837805,fields/T_d10_1004.csv
T,d10,0.02523744,1005,512,0.0625,0.32215566445570887,0.1,0.25,0.14721755875200002,0.2523744,54.77356437782689,49.50461570408092,fields/T_d10_1005.csv
T,d10,0.02523744,1006,512,0.0625,0.28650857164978855,0.1,0.25,0.14721755875200002,0.2523744,46.52717590581066,45.6320213239955,fields/T_d10_1006.csv
T,d10,0.02523744,1007,512,0.0625,0.29778633646697705,0.1,0.25,0.14721755875200002,0.2523744,52.44974509970994,47.34100389731423,fields/T_d10_1007.csv
T,d10,0.02523744,1008,512,0.0625,0.303767835733657,0.1,0.25,0.14721755875200002,0.2523744,61.23131587998118,48.92891694968336,fields/T_d10_1008.csv
T,d10,0.02523744,1009,512,0.0625,0.2988673303209168,0.1,0.25,0.14721755875200002,0.2523744,52.50257554466944,48.46414825396069,fields/T_d10_1009.csv
T,d4,0.0630936,1000,512,0.0625,0.31964978441348674,0.1,0.25,0.14721755875200002,0.2523744,24.66014103961934,23.911245777077443,fields/T_d4_1000.csv
T,d4,0.0630936,1001,512,0.0625,0.24958883973969898,0.1,0.25,0.14721755875200002,0.2523744,18.341575901019937,17.676466177766283,fields/T_d4_1001.csv
T,d4,0.0630936,1002,512,0.0625,0.4324110582763739,0.1,0.25,0.14721755875200002,0.2523744,33.56866138999456,30.169114784600435,fields/T_d4_1002.csv
T,d4,0.0630936,1003,512,0.0625,0.6091947388201574,0.1,0.25,0.14721755875200002,0.2523744,35.13507878137084,28.618473172911273,fields/T_d4_1003.csv
T,d4,0.0630936,1004,512,0.0625,0.29214250837978173,0.1,0.25,0.14721755875200002,0.2523744,22.893986514686432,21.415715257628197,fields/T_d4_1004.csv
T,d4,0.0630936,1005,512,0.0625,0.524750683688942,0.1,0.25,0.14721755875200002,0.2523744,28.719562935481306,26.625017807630105,fields/T_d4_1005.csv
T,d4,0.0630936,1006,512,0.0625,0.46846410872913136,0.1,0.25,0.14721755875200002,0.2523744,25.463191585391318,23.327002533247793,fields/T_d4_1006.csv
T,d4,0.0630936,1007,512,0.0625,0.41485356576574234,0.1,0.25,0.14721755875200002,0.2523744,25.10899681293776,24.6716427734287,fields/T_d4_1007.csv
T,d4,0.0630936,1008,512,0.0625,0.43748202641300277,0.1,0.25,0.14721755875200002,0.2523744,30.99889097335211,27.91110649570288,fields/T_d4_1008.csv
T,d4,0.0630936,1009,512,0.0625,0.5914589309748985,0.1,0.25,0.14721755875200002,0.2523744,27.896413053900506,26.850590555581416,fields/T_d4_1009.csv
U,d10,0.02523744,1000,512,0.0625,0.3028112201202305,0.0,0.0,0.14721755875200002,0.2523744,52.34039662642463,50.48098413359101,fields/U_d10_1000.csv
U,d10,0.02523744,1001,512,0.0625,0.26532434858589266,0.0,0.0,0.14721755875200002,0.2523744,49.638879874783,49.34377917015543,fields/U_d10_1001.csv
U,d10,0.02523744,1002,512,0.0625,0.28983636522784983,0.0,0.0,0.14721755875200002,0.2523744,61.14894513478652,59.50466029080573,fields/U_d10_1002.csv
